generation,pure_ga_fitness,hybrid_ga_fitness
0,2159201.5,1221557.5
1,2023852.5,1221557.5
2,1888302.5,1221557.5
3,1780023.5,1221557.5
4,1780023.5,1221557.5
5,1780023.5,1221557.5
6,1770539.5,1165836.5
7,1668353.5,1132460.5
8,1668353.5,1132460.5
9,1668353.5,1132460.5
10,1608789.5,1132460.5
11,1608789.5,1132460.5
12,1559115.5,1132460.5
13,1559115.5,1132460.5
14,1494589.5,1132460.5
15,1494589.5,1132460.5
16,1473451.5,1132460.5
17,1442261.5,1132460.5
18,1442261.5,1132460.5
19,1398171.5,1132460.5
20,1398171.5,1132460.5
21,1345530.5,1132460.5
22,1345530.5,1132460.5
23,1341632.5,1114518.5
24,1332617.5,1114518.5
25,1315539.5,1114518.5
26,1293307.5,1114518.5
27,1293307.5,1114518.5
28,1293307.5,1114518.5
29,1293307.5,1114518.5
30,1293307.5,1114518.5
31,1293307.5,1114518.5
32,1293307.5,1114518.5
33,1293307.5,1114518.5
34,1293307.5,1114518.5
35,1273111.5,1114518.5
36,1253852.5,1114518.5
37,1253852.5,1114518.5
38,1253852.5,1114518.5
39,1252287.5,1114518.5
40,1218691.5,1114518.5
41,1218691.5,1114518.5
42,1218691.5,1114518.5
43,1218691.5,1114518.5
44,1218691.5,1114518.5
45,1218691.5,1114518.5
46,1202688.5,1114518.5
47,1202688.5,1114518.5
48,1202688.5,1114518.5
49,1202688.5,1114518.5
