algorithm,population_size,mutation_rate,gen_0,gen_10,gen_20,gen_30,gen_40,gen_50,best_fitness
Pure GA,50,0.01,678413.0,346431.0,212025.0,122410.0,84058.0,44299.0,44299.0
Hybrid GA,50,0.01,8522.0,8039.0,7862.0,7568.0,7455.0,7377.0,7377.0
Pure GA,50,0.05,678413.0,350811.0,200855.0,129315.0,78781.0,78604.0,78604.0
Hybrid GA,50,0.05,8522.0,8230.0,8193.0,8057.0,7903.0,7785.0,7785.0
Pure GA,50,0.1,678413.0,346729.0,233682.0,195698.0,113014.0,110327.0,110327.0
Hybrid GA,50,0.1,8522.0,8327.0,7919.0,7891.0,7862.0,7862.0,7862.0
Pure GA,50,0.2,678413.0,398167.0,227914.0,181259.0,175623.0,147679.0,147679.0
Hybrid GA,50,0.2,8522.0,8378.0,8323.0,7993.0,7979.0,7929.0,7929.0
Pure GA,100,0.01,678413.0,365532.0,200140.0,105450.0,37894.0,22813.0,22813.0
Hybrid GA,100,0.01,8522.0,8138.0,7809.0,7572.0,7342.0,7239.0,7239.0
Pure GA,100,0.05,678413.0,310961.0,181855.0,101783.0,43320.0,21150.0,21150.0
Hybrid GA,100,0.05,8522.0,8394.0,8219.0,7820.0,7768.0,7633.0,7633.0
Pure GA,100,0.1,678413.0,378068.0,134420.0,67161.0,44058.0,39536.0,39536.0
Hybrid GA,100,0.1,8522.0,8147.0,7947.0,7876.0,7738.0,7686.0,7686.0
Pure GA,100,0.2,678413.0,466138.0,324379.0,244035.0,190910.0,151626.0,151626.0
Hybrid GA,100,0.2,8522.0,8220.0,7962.0,7778.0,7678.0,7678.0,7678.0
